TimeStamp,X,Y,Z
11:17:10.834,-2,3,-2
11:17:10.834,0,-1,0
11:17:10.834,-1,1,0
11:17:10.834,0,0,0
11:17:10.834,0,0,1
11:17:10.834,-1,0,2
11:17:10.834,-2,3,-1
11:17:10.834,-2,1,-1
11:17:10.834,-6,-2,-1
11:17:10.834,-4,-1,-1
11:17:10.834,-1,4,-2
11:17:10.834,1,-1,-1
11:17:10.835,-2,-2,-1
11:17:10.835,-3,-2,-1
11:17:10.835,-1,-2,0
11:17:10.835,0,0,-1
11:17:10.835,-2,-3,0
11:17:10.835,-1,1,-1
11:17:10.835,4,-2,-1
11:17:10.835,2,-2,-1
11:17:10.835,-5,3,-1
11:17:10.835,4,2,0
11:17:10.835,0,1,1
11:17:10.835,-2,-1,-1
11:17:10.835,-2,3,-1
11:17:10.835,0,1,1
11:17:10.835,3,-1,0
11:17:10.835,3,-1,0
11:17:10.835,3,0,-1
11:17:10.835,0,3,-1
11:17:10.835,-5,-1,-1
11:17:10.835,-2,2,-1
11:17:10.835,-1,-1,0
11:17:10.835,-3,-2,-1
11:17:10.866,-2,-2,1
11:17:10.866,1,2,0
11:17:10.866,1,0,0
11:17:10.866,-2,1,0
11:17:10.866,1,3,0
11:17:10.866,6,3,-3
11:17:10.866,1,-1,-1
11:17:10.866,0,0,-1
11:17:10.866,1,3,-2
11:17:10.866,1,3,0
11:17:10.866,-2,0,0
11:17:10.866,-3,0,0
11:17:10.866,-2,1,-1
11:17:10.866,-4,-1,0
11:17:10.866,-1,2,0
11:17:10.866,5,2,-1
11:17:10.866,-2,3,-1
11:17:10.866,0,-1,1
11:17:10.866,-3,0,1
11:17:10.866,-1,2,-1
11:17:10.866,-3,-2,0
11:17:10.866,-3,1,-2
11:17:10.866,-2,2,-1
11:17:10.866,1,1,-1
11:17:10.866,-3,4,-1
11:17:10.866,-3,6,0
11:17:10.866,1,2,0
11:17:10.866,-1,2,0
11:17:10.866,-3,-1,-2
11:17:10.866,-3,0,-2
11:17:10.866,-1,-5,0
11:17:10.866,-5,-2,-1
11:17:10.893,-4,3,-2
11:17:10.893,1,0,0
11:17:10.893,2,-1,-2
11:17:10.893,-3,-1,-1
11:17:10.893,0,0,1
11:17:10.893,0,3,0
11:17:10.893,-2,-1,1
11:17:10.893,1,3,1
11:17:10.893,4,0,0
11:17:10.893,-1,-3,0
11:17:10.893,0,4,0
11:17:10.893,-1,1,-2
11:17:10.893,1,0,-2
11:17:10.893,-3,-3,-1
11:17:10.893,-3,-2,-1
11:17:10.893,-3,2,0
11:17:10.893,3,0,0
11:17:10.893,-4,-1,0
11:17:10.893,0,2,-1
11:17:10.893,4,2,-1
11:17:10.893,-2,1,-1
11:17:10.893,-4,-2,-2
11:17:10.893,3,3,-2
11:17:10.893,-2,1,-1
11:17:10.893,0,1,-1
11:17:10.893,-1,7,-2
11:17:10.893,3,-1,3
11:17:10.893,-2,1,2
11:17:10.925,0,2,0
11:17:10.925,2,3,0
11:17:10.925,-4,1,0
11:17:10.925,-1,-2,0
11:17:10.925,-1,7,-2
11:17:10.925,0,-1,-1
11:17:10.925,0,1,-1
11:17:10.925,-3,2,0
11:17:10.925,0,1,0
11:17:10.925,0,-3,0
11:17:10.925,-1,4,0
11:17:10.925,2,1,0
11:17:10.925,-1,-1,0
11:17:10.925,2,1,-1
11:17:10.925,3,8,-1
11:17:10.925,1,1,-2
11:17:10.925,0,1,-2
