Millis, X Accel, Y Accel, Z Accel
0,0.89591,0.043678,0.4562
0,0.87586,0.083612,0.4562
1,0.89591,0.043678,0.44616
1,0.88589,0.033694,0.4562
2,0.88589,0.043678,0.44616
2,0.88589,0.033694,0.44616
3,0.88589,0.033694,0.4562
3,0.89591,0.053661,0.4562
4,0.89591,0.033694,0.4562
5,0.89591,0.033694,0.4562
5,0.89591,0.043678,0.44616
6,0.86583,0.033694,0.43612
6,0.91597,0.033694,0.4562
7,0.86583,0.033694,0.44616
7,0.89591,0.023711,0.44616
8,0.88589,0.033694,0.44616
8,0.88589,0.033694,0.4562
9,0.89591,0.023711,0.43612
9,0.88589,0.023711,0.44616
10,0.89591,0.023711,0.46624
11,0.87586,0.043678,0.44616
11,0.88589,0.023711,0.4562
12,0.89591,0.023711,0.44616
12,0.90594,0.023711,0.4562
13,0.89591,0.033694,0.44616
13,0.89591,0.023711,0.43612
14,0.88589,0.053661,0.43612
14,0.89591,0.033694,0.44616
15,0.88589,0.023711,0.44616
16,0.87586,0.033694,0.44616
16,0.88589,0.033694,0.44616
17,0.88589,0.033694,0.43612
17,0.90594,0.033694,0.44616
18,0.88589,0.043678,0.42608
18,0.89591,0.033694,0.4562
19,0.89591,0.033694,0.43612
19,0.88589,0.023711,0.44616
20,0.88589,0.033694,0.4562
21,0.89591,0.033694,0.44616
21,0.89591,0.033694,0.44616
22,0.88589,0.023711,0.4562
22,0.8558,0.033694,0.4562
23,0.89591,0.023711,0.46624
23,0.88589,0.033694,0.4562
24,0.87586,0.033694,0.4562
24,0.8558,0.043678,0.44616
25,0.89591,0.033694,0.46624
26,0.87586,0.033694,0.43612
26,0.88589,0.033694,0.4562
27,0.89591,0.023711,0.4562
27,0.88589,0.033694,0.4562
28,0.88589,0.033694,0.44616
28,0.89591,0.033694,0.48632
29,0.88589,0.023711,0.46624
29,0.88589,0.053661,0.4562
30,0.89591,0.023711,0.44616
31,0.88589,0.023711,0.44616
31,0.8558,0.033694,0.4562
32,0.88589,0.033694,0.44616
32,0.89591,0.033694,0.4562
33,0.89591,0.033694,0.44616
33,0.90594,0.033694,0.43612
34,0.89591,0.033694,0.46624
34,0.88589,0.023711,0.43612
35,0.88589,0.033694,0.44616
